feature_n,variable,value
40.0,knn,0.8467741935483871
40.0,knn,0.8467741935483871
40.0,knn,0.9193548387096774
40.0,knn,0.8548387096774194
40.0,knn,0.8790322580645161
40.0,knn,0.8870967741935484
40.0,knn,0.8548387096774194
40.0,knn,0.8951612903225806
40.0,knn,0.8387096774193549
40.0,knn,0.8790322580645161
40.0,knn,0.9032258064516129
40.0,knn,0.8467741935483871
40.0,knn,0.8548387096774194
40.0,knn,0.8548387096774194
40.0,knn,0.8870967741935484
40.0,knn,0.8548387096774194
40.0,knn,0.8467741935483871
40.0,knn,0.8790322580645161
40.0,knn,0.9032258064516129
40.0,knn,0.8709677419354839
40.0,knn,0.8467741935483871
40.0,knn,0.8387096774193549
40.0,knn,0.8548387096774194
40.0,knn,0.8467741935483871
40.0,knn,0.8548387096774194
40.0,knn,0.8629032258064516
40.0,knn,0.8709677419354839
40.0,knn,0.8951612903225806
40.0,knn,0.8951612903225806
40.0,knn,0.8790322580645161
40.0,knn,0.8870967741935484
40.0,knn,0.9032258064516129
40.0,knn,0.8790322580645161
40.0,knn,0.8548387096774194
40.0,knn,0.8951612903225806
40.0,knn,0.8870967741935484
40.0,knn,0.8387096774193549
40.0,knn,0.8790322580645161
40.0,knn,0.8709677419354839
40.0,knn,0.8629032258064516
40.0,knn,0.8306451612903226
40.0,knn,0.8629032258064516
40.0,knn,0.8629032258064516
40.0,knn,0.8870967741935484
40.0,knn,0.8548387096774194
40.0,knn,0.8790322580645161
40.0,knn,0.8709677419354839
40.0,knn,0.8467741935483871
40.0,knn,0.8548387096774194
40.0,knn,0.8790322580645161
40.0,knn,0.8951612903225806
40.0,knn,0.8225806451612904
40.0,knn,0.8629032258064516
40.0,knn,0.8467741935483871
40.0,knn,0.9032258064516129
40.0,knn,0.8387096774193549
40.0,knn,0.8870967741935484
40.0,knn,0.8951612903225806
40.0,knn,0.8548387096774194
40.0,knn,0.8629032258064516
40.0,knn,0.8870967741935484
40.0,knn,0.8548387096774194
40.0,knn,0.8951612903225806
40.0,knn,0.8629032258064516
40.0,knn,0.8870967741935484
40.0,knn,0.8790322580645161
40.0,knn,0.8306451612903226
40.0,knn,0.8629032258064516
40.0,knn,0.9032258064516129
40.0,knn,0.8951612903225806
40.0,knn,0.8709677419354839
40.0,knn,0.8870967741935484
40.0,knn,0.8548387096774194
40.0,knn,0.8790322580645161
40.0,knn,0.8629032258064516
40.0,knn,0.9112903225806451
40.0,knn,0.8467741935483871
40.0,knn,0.8225806451612904
40.0,knn,0.8790322580645161
40.0,knn,0.8629032258064516
40.0,knn,0.9112903225806451
40.0,knn,0.8548387096774194
40.0,knn,0.9032258064516129
40.0,knn,0.8629032258064516
40.0,knn,0.8709677419354839
40.0,knn,0.9032258064516129
40.0,knn,0.8629032258064516
40.0,knn,0.8467741935483871
40.0,knn,0.8951612903225806
40.0,knn,0.8709677419354839
40.0,knn,0.8709677419354839
40.0,knn,0.8709677419354839
40.0,knn,0.8629032258064516
40.0,knn,0.8629032258064516
40.0,knn,0.8467741935483871
40.0,knn,0.8790322580645161
40.0,knn,0.8870967741935484
40.0,knn,0.8709677419354839
40.0,knn,0.8548387096774194
40.0,knn,0.8790322580645161
20.0,knn,0.8709677419354839
20.0,knn,0.8548387096774194
20.0,knn,0.9032258064516129
20.0,knn,0.9274193548387096
20.0,knn,0.8870967741935484
20.0,knn,0.8790322580645161
20.0,knn,0.9032258064516129
20.0,knn,0.8709677419354839
20.0,knn,0.8225806451612904
20.0,knn,0.8790322580645161
20.0,knn,0.8709677419354839
20.0,knn,0.9032258064516129
20.0,knn,0.8790322580645161
20.0,knn,0.8467741935483871
20.0,knn,0.8951612903225806
20.0,knn,0.8870967741935484
20.0,knn,0.8629032258064516
20.0,knn,0.8870967741935484
20.0,knn,0.8225806451612904
20.0,knn,0.8467741935483871
20.0,knn,0.8225806451612904
20.0,knn,0.8709677419354839
20.0,knn,0.8709677419354839
20.0,knn,0.8870967741935484
20.0,knn,0.8870967741935484
20.0,knn,0.8951612903225806
20.0,knn,0.8548387096774194
20.0,knn,0.8548387096774194
20.0,knn,0.8951612903225806
20.0,knn,0.8467741935483871
20.0,knn,0.8387096774193549
20.0,knn,0.8387096774193549
20.0,knn,0.8951612903225806
20.0,knn,0.8467741935483871
20.0,knn,0.8951612903225806
20.0,knn,0.8870967741935484
20.0,knn,0.8548387096774194
20.0,knn,0.8548387096774194
20.0,knn,0.8629032258064516
20.0,knn,0.8548387096774194
20.0,knn,0.8951612903225806
20.0,knn,0.8467741935483871
20.0,knn,0.8387096774193549
20.0,knn,0.8790322580645161
20.0,knn,0.8790322580645161
20.0,knn,0.8709677419354839
20.0,knn,0.8629032258064516
20.0,knn,0.8951612903225806
20.0,knn,0.8870967741935484
20.0,knn,0.8790322580645161
20.0,knn,0.8790322580645161
20.0,knn,0.8548387096774194
20.0,knn,0.8709677419354839
20.0,knn,0.8548387096774194
20.0,knn,0.8951612903225806
20.0,knn,0.8629032258064516
20.0,knn,0.8709677419354839
20.0,knn,0.8790322580645161
20.0,knn,0.8629032258064516
20.0,knn,0.8870967741935484
20.0,knn,0.8870967741935484
20.0,knn,0.8467741935483871
20.0,knn,0.8951612903225806
20.0,knn,0.8709677419354839
20.0,knn,0.9032258064516129
20.0,knn,0.8951612903225806
20.0,knn,0.8387096774193549
20.0,knn,0.8467741935483871
20.0,knn,0.8548387096774194
20.0,knn,0.8629032258064516
20.0,knn,0.8548387096774194
20.0,knn,0.9112903225806451
20.0,knn,0.8629032258064516
20.0,knn,0.8951612903225806
