feature_n,variable,value
40.0,knn,0.8129907853956164
40.0,knn,0.8085818624467438
40.0,knn,0.9013925654908862
40.0,knn,0.8208547935303153
40.0,knn,0.8663813912661839
40.0,knn,0.8634707638915212
40.0,knn,0.8315318041517883
40.0,knn,0.8733619595496728
40.0,knn,0.8059546399204843
40.0,knn,0.859898798228969
40.0,knn,0.8846375957800576
40.0,knn,0.8308441850831217
40.0,knn,0.8201746043822277
40.0,knn,0.8315318041517883
40.0,knn,0.8660815939278936
40.0,knn,0.8283023556515843
40.0,knn,0.8207443067190612
40.0,knn,0.8534446087040758
40.0,knn,0.8829631422865097
40.0,knn,0.8491382036685641
40.0,knn,0.8241931251639989
40.0,knn,0.8065354000837872
40.0,knn,0.8246202015302184
40.0,knn,0.8134047167253999
40.0,knn,0.8251309622277364
40.0,knn,0.8461436950146629
40.0,knn,0.8427050029766499
40.0,knn,0.8733619595496728
40.0,knn,0.8733619595496728
40.0,knn,0.8588346323634856
40.0,knn,0.8635996505513706
40.0,knn,0.8846375957800576
40.0,knn,0.8559127149589983
40.0,knn,0.8342192803514444
40.0,knn,0.8769306197749727
40.0,knn,0.8682757676689328
40.0,knn,0.8012020693852707
40.0,knn,0.8532619933829612
40.0,knn,0.8492733073378236
40.0,knn,0.8354356217259444
40.0,knn,0.8031601025990929
40.0,knn,0.842079662652657
40.0,knn,0.8391635901470677
40.0,knn,0.8678826260692291
40.0,knn,0.8279139095671354
40.0,knn,0.8532619933829612
40.0,knn,0.8458865597715529
40.0,knn,0.8262878131131085
40.0,knn,0.8246202015302184
40.0,knn,0.8588346323634856
40.0,knn,0.8734969190789668
40.0,knn,0.7931339474116473
40.0,knn,0.8317656094695943
40.0,knn,0.8171344784248009
40.0,knn,0.8846375957800576
40.0,knn,0.8065354000837872
40.0,knn,0.8765420224643924
40.0,knn,0.8755896020743141
40.0,knn,0.8243155326646788
40.0,knn,0.8352192798712322
40.0,knn,0.8634707638915212
40.0,knn,0.8201746043822277
40.0,knn,0.8733619595496728
40.0,knn,0.8479146301726947
40.0,knn,0.8634707638915212
40.0,knn,0.8559127149589983
40.0,knn,0.8075822264389627
40.0,knn,0.8352192798712322
40.0,knn,0.8832965780793991
40.0,knn,0.8753557874762807
40.0,knn,0.8462426030626207
40.0,knn,0.8665416083685706
40.0,knn,0.8283023556515843
40.0,knn,0.8532619933829612
40.0,knn,0.8385296084786746
40.0,knn,0.8922991777356102
40.0,knn,0.8140211231892046
40.0,knn,0.7841330080419265
40.0,knn,0.860175650064144
40.0,knn,0.8364802940643185
40.0,knn,0.8936860275889341
40.0,knn,0.8283023556515843
40.0,knn,0.8846375957800576
40.0,knn,0.8393826021448948
40.0,knn,0.8457402812241523
40.0,knn,0.883124268547975
40.0,knn,0.8354356217259444
40.0,knn,0.8220198107688274
40.0,knn,0.8753557874762807
40.0,knn,0.8458865597715529
40.0,knn,0.8427050029766499
40.0,knn,0.8491382036685641
40.0,knn,0.8316470005049732
40.0,knn,0.8317656094695943
40.0,knn,0.8207443067190612
40.0,knn,0.8563073695253082
40.0,knn,0.8678826260692291
40.0,knn,0.8434184535166303
40.0,knn,0.8243155326646788
40.0,knn,0.8560049120609229
20.0,knn,0.8497866386577421
20.0,knn,0.8315318041517883
20.0,knn,0.8829631422865097
20.0,knn,0.9113722735541506
20.0,knn,0.8678826260692291
20.0,knn,0.8534446087040758
20.0,knn,0.8829631422865097
20.0,knn,0.8486755835300289
20.0,knn,0.7884505986373559
20.0,knn,0.8559127149589983
20.0,knn,0.8491382036685641
20.0,knn,0.884853462304756
20.0,knn,0.8568074003795065
20.0,knn,0.8171344784248009
20.0,knn,0.8753557874762807
20.0,knn,0.8682757676689328
20.0,knn,0.8391635901470677
20.0,knn,0.8635666528811691
20.0,knn,0.7931339474116473
20.0,knn,0.8229206198608476
20.0,knn,0.8120288313836701
20.0,knn,0.8457402812241523
20.0,knn,0.8486755835300289
20.0,knn,0.8657672210592251
20.0,knn,0.8658193629082692
20.0,knn,0.8786510263929618
20.0,knn,0.8201746043822277
20.0,knn,0.8317878636544469
20.0,knn,0.8753557874762807
20.0,knn,0.8134047167253999
20.0,knn,0.8242098403388727
20.0,knn,0.8100875379101186
20.0,knn,0.8753557874762807
20.0,knn,0.8182762004641388
20.0,knn,0.8753557874762807
20.0,knn,0.8682757676689328
20.0,knn,0.8351203783972868
20.0,knn,0.8310531260817248
20.0,knn,0.8414690069576217
20.0,knn,0.8283023556515843
20.0,knn,0.8774824303090697
20.0,knn,0.8134047167253999
20.0,knn,0.8196228161517991
20.0,knn,0.860175650064144
20.0,knn,0.8560049120609229
20.0,knn,0.8462426030626207
20.0,knn,0.8391635901470677
20.0,knn,0.8791610381657391
20.0,knn,0.8634707638915212
20.0,knn,0.85818757691299
20.0,knn,0.8533040813176637
20.0,knn,0.8246202015302184
20.0,knn,0.8491382036685641
20.0,knn,0.8377126099706745
20.0,knn,0.8734511489035486
20.0,knn,0.8391635901470677
20.0,knn,0.8484101735704749
20.0,knn,0.8534446087040758
20.0,knn,0.8421033425777259
20.0,knn,0.8678826260692291
20.0,knn,0.8665416083685706
20.0,knn,0.8313733812710143
20.0,knn,0.8786510263929618
20.0,knn,0.8516980730331097
20.0,knn,0.886109587098267
20.0,knn,0.877108332953111
20.0,knn,0.8065354000837872
20.0,knn,0.8134047167253999
20.0,knn,0.8208547935303153
20.0,knn,0.8317656094695943
20.0,knn,0.8368771297301937
20.0,knn,0.8922991777356102
20.0,knn,0.8354356217259444
20.0,knn,0.8755896020743141
20.0,knn,0.8610716111863786
20.0,knn,0.8657672210592251
20.0,knn,0.839864010120177
20.0,knn,0.8152514231499052
20.0,knn,0.7833433825746156
20.0,knn,0.808569723231
20.0,knn,0.8491382036685641
20.0,knn,0.8635996505513706
20.0,knn,0.8140211231892046
20.0,knn,0.7724200894075177
20.0,knn,0.8458865597715529
20.0,knn,0.8317656094695943
20.0,knn,0.8769555675183237
20.0,knn,0.830175818525991
20.0,knn,0.8676865907653383
20.0,knn,0.8048760313905869
20.0,knn,0.8386478645721728
20.0,knn,0.883124268547975
20.0,knn,0.8486755835300289
20.0,knn,0.8696987679755759
20.0,knn,0.8516980730331097
20.0,knn,0.860175650064144
20.0,knn,0.8479146301726947
20.0,knn,0.8660815939278936
20.0,knn,0.8354356217259444
20.0,knn,0.877108332953111
10.0,knn,0.8594432023847545
10.0,knn,0.8458865597715529
10.0,knn,0.8427050029766499
10.0,knn,0.8734969190789668
10.0,knn,0.8733619595496728
10.0,knn,0.8560049120609229
10.0,knn,0.8733619595496728
10.0,knn,0.901431156940579
10.0,knn,0.8635996505513706
10.0,knn,0.8426764254088731
10.0,knn,0.8733619595496728
10.0,knn,0.8358604045841074
10.0,knn,0.8507432005060088
10.0,knn,0.8702199413489736
10.0,knn,0.8936860275889341
10.0,knn,0.8753557874762807
10.0,knn,0.8584123972169512
10.0,knn,0.8634707638915212
10.0,knn,0.7997828784119108
10.0,knn,0.8491382036685641
10.0,knn,0.8755896020743141
10.0,knn,0.8277375775128696
10.0,knn,0.8753313562912304
10.0,knn,0.9015733712839974
10.0,knn,0.8458865597715529
10.0,knn,0.8563073695253082
10.0,knn,0.8457402812241523
10.0,knn,0.8426764254088731
10.0,knn,0.8733619595496728
10.0,knn,0.8774824303090697
10.0,knn,0.8758770765535029
10.0,knn,0.8829631422865097
10.0,knn,0.8458865597715529
10.0,knn,0.8446607920636876
10.0,knn,0.8859408982372892
10.0,knn,0.8364802940643185
10.0,knn,0.8243155326646788
10.0,knn,0.8996211023230776
10.0,knn,0.9025204062209583
10.0,knn,0.883124268547975
10.0,knn,0.8533040813176637
10.0,knn,0.8658193629082692
10.0,knn,0.911158357771261
10.0,knn,0.8429573338847534
10.0,knn,0.8427050029766499
10.0,knn,0.8251309622277364
10.0,knn,0.8635666528811691
10.0,knn,0.8354356217259444
10.0,knn,0.9102637222247572
10.0,knn,0.8560049120609229
10.0,knn,0.8427050029766499
10.0,knn,0.8733619595496728
10.0,knn,0.883124268547975
10.0,knn,0.8462426030626207
10.0,knn,0.8938932494317611
10.0,knn,0.8829631422865097
10.0,knn,0.8922991777356102
10.0,knn,0.9103040685544521
10.0,knn,0.883124268547975
10.0,knn,0.8458865597715529
10.0,knn,0.9274120234604105
10.0,knn,0.8532619933829612
10.0,knn,0.8532619933829612
10.0,knn,0.8462426030626207
10.0,knn,0.9113722735541506
10.0,knn,0.8635666528811691
10.0,knn,0.8733619595496728
10.0,knn,0.8753313562912304
10.0,knn,0.8829631422865097
10.0,knn,0.891402102338373
10.0,knn,0.8829631422865097
10.0,knn,0.8342192803514444
10.0,knn,0.8734511489035486
10.0,knn,0.8560049120609229
10.0,knn,0.8658193629082692
10.0,knn,0.8560049120609229
10.0,knn,0.8426764254088731
10.0,knn,0.8829631422865097
10.0,knn,0.8358604045841074
10.0,knn,0.8670913199314322
10.0,knn,0.860175650064144
10.0,knn,0.848933383037951
10.0,knn,0.8458865597715529
10.0,knn,0.8924751356694709
10.0,knn,0.8657672210592251
10.0,knn,0.8484101735704749
10.0,knn,0.8171344784248009
10.0,knn,0.9025204062209583
10.0,knn,0.877108332953111
10.0,knn,0.8610716111863786
10.0,knn,0.8830249841872232
10.0,knn,0.8560049120609229
10.0,knn,0.8734969190789668
10.0,knn,0.9027272727272727
10.0,knn,0.8949046920821114
10.0,knn,0.8936855894858012
10.0,knn,0.8922991777356102
10.0,knn,0.8457402812241523
10.0,knn,0.8923445717851426
10.0,knn,0.8755896020743141
40.0,rf,0.914932065017168
40.0,rf,0.8883003170498011
40.0,rf,0.8605631307324318
40.0,rf,0.9115371955233706
40.0,rf,0.8770521776172686
40.0,rf,0.9123207062700981
40.0,rf,0.8800097751710655
40.0,rf,0.8727585017541781
40.0,rf,0.8647299324831208
40.0,rf,0.8817769197895636
40.0,rf,0.8879113717823396
40.0,rf,0.8973483107555446
40.0,rf,0.8969168312486283
40.0,rf,0.9058050096187564
40.0,rf,0.911158357771261
40.0,rf,0.906340343940312
40.0,rf,0.8898068267066767
40.0,rf,0.9099539170506913
40.0,rf,0.8864736070381231
40.0,rf,0.8605623100303952
40.0,rf,0.8751678272680655
40.0,rf,0.881975321145828
40.0,rf,0.9031285459555844
40.0,rf,0.9087468982630271
40.0,rf,0.8985311323259038
40.0,rf,0.8640436624307593
40.0,rf,0.8899984807818909
40.0,rf,0.911158357771261
40.0,rf,0.8885931386723989
40.0,rf,0.919616001152717
40.0,rf,0.8962497580205199
40.0,rf,0.9123207062700981
40.0,rf,0.9038774845226457
40.0,rf,0.8596692320288193
40.0,rf,0.9051400212690537
40.0,rf,0.8983870967741936
40.0,rf,0.8719452590420332
40.0,rf,0.8938932494317611
40.0,rf,0.8962497580205199
40.0,rf,0.8630554204715333
40.0,rf,0.8760208970205777
40.0,rf,0.8823461147379124
40.0,rf,0.8958129683936135
40.0,rf,0.8891883366249725
40.0,rf,0.8832355816226785
40.0,rf,0.881975321145828
40.0,rf,0.9044277755906198
40.0,rf,0.9002948468337233
40.0,rf,0.8794437129690585
40.0,rf,0.8916816767643686
40.0,rf,0.9230856956663408
40.0,rf,0.8772435897435897
40.0,rf,0.8882006036326023
40.0,rf,0.8864736070381231
40.0,rf,0.8751678272680655
40.0,rf,0.8757982642868839
40.0,rf,0.8663720016542596
40.0,rf,0.8551935303758936
40.0,rf,0.8438709677419355
40.0,rf,0.9281553431883188
40.0,rf,0.9286556410676274
40.0,rf,0.8916816767643686
40.0,rf,0.8973851938464361
40.0,rf,0.8640436624307593
40.0,rf,0.9087468982630271
40.0,rf,0.8606516044990405
40.0,rf,0.9002948468337233
40.0,rf,0.8861180038599393
40.0,rf,0.9122719307108339
40.0,rf,0.891999483307303
40.0,rf,0.878482047412438
40.0,rf,0.8990387748452264
40.0,rf,0.9079328505595787
40.0,rf,0.8620038048136948
40.0,rf,0.8712991480700997
